movie_id,title,isAdult,startYear,runtimeMinutes,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0016112,les misérables pt.1 - jean valjean|les misérables pt.2 - fantine|les misérables pt.3 - marius|les misérables pt.4 - l'epopée de la rue saint-denis|les misérables,0.0,1925,359.0,7.4,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016232,poil de carotte,0.0,1925,123.0,7.2,318,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016384,poupée de paris|jeux de paris,0.0,1925,100.0,5.7,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016491,saint-bernard|visages d'enfants,0.0,1925,114.0,7.6,940,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0016493,le voyage imaginaire,0.0,1926,80.0,6.7,259,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0016709,carmen,0.0,1926,110.0,6.6,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017137,michel strogoff,0.0,1926,168.0,7.2,133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017196,nana,0.0,1926,150.0,6.7,970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0017292,la proie du vent,0.0,1927,90.0,6.7,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0017736,casanova,0.0,1927,132.0,7.1,262,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017938,la glace à trois faces,0.0,1927,45.0,6.9,968,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0018045,le joueur d'échecs,0.0,1927,135.0,7.0,341,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0018187,le mystère de la tour eiffel|les frères mironton|t.s.f. - tramel s'en fout...,0.0,1928,129.0,6.9,149,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018192,napoléon,0.0,1927,330.0,8.2,8885,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0018197,"le danseur de jazz|peau noire, âme blanche",0.0,1927,88.0,6.7,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018523,un chapeau de paille d'italie,0.0,1928,108.0,6.9,933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0018739,cagliostro,0.0,1929,58.0,6.5,143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0018770,la chute de la maison usher,0.0,1928,72.0,7.3,4553,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0019127,maldone|olivier maldone,0.0,1928,102.0,7.1,242,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0019254,la passion de jeanne d'arc,0.0,1928,114.0,8.1,61228,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0019480,tire-au-flanc,0.0,1928,87.0,6.3,287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019485,le tourbillon de paris,0.0,1928,100.0,6.4,62,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019486,le tournoi dans la cité|le tournoi,0.0,1928,90.0,6.1,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019527,la venenosa,0.0,1928,136.0,5.8,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0019646,jazz-bank|l'argent,0.0,1928,195.0,7.5,1160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0019704,le bled,0.0,1929,104.0,6.1,133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019825,le miracle de la mer|stella maris|la divine croisière,0.0,1929,102.0,6.6,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0019849,en rade,0.0,1927,92.0,6.8,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020134,maman colibri,0.0,1929,75.0,6.9,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020165,"la merveilleuse vie de jeanne d'arc|la merveilleuse vie de jeanne d'arc, fille de lorraine",0.0,1929,125.0,7.5,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020182,monte cristo,0.0,1929,223.0,6.9,158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020228,les nouveaux messieurs,0.0,1929,135.0,6.8,192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020263,peau de pêche,0.0,1929,89.0,7.2,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020263,peau de pêche,0.0,1929,89.0,7.2,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020371,le navire des hommes perdus,0.0,1929,121.0,6.6,135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0020546,vénus,0.0,1929,100.0,7.2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0020552,la vie miraculeuse de thérèse martin,0.0,1929,113.0,6.8,43,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0020656,au bonheur des dames,0.0,1930,85.0,7.3,577,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0020751,chacun sa chance,0.0,1930,76.0,5.7,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020751,chacun sa chance,0.0,1930,76.0,5.7,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0020814,david golder,0.0,1931,86.0,7.0,333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021168,le mystère de la chambre jaune,0.0,1930,108.0,6.4,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0021234,le parfum de la dame en noir,0.0,1931,109.0,6.4,113,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021247,la petite lise,0.0,1930,84.0,7.1,234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021273,prix de beauté|prix de beauté (miss europe),0.0,1930,93.0,6.9,676,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0021309,le roman de renard,0.0,1937,63.0,7.6,1567,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021309,le roman de renard,0.0,1937,63.0,7.6,1567,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021331,le sang d'un poète,0.0,1932,55.0,7.3,7431,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021409,sous les toits de paris,0.0,1930,96.0,7.1,2506,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0021577,âge d'or|l'âge d'or|la bête andalouse,0.0,1930,63.0,7.2,14882,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021605,les amants de minuit,0.0,1931,109.0,6.6,70,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
