tconst,numVotes,averageRating
tt0031894,484,7.3
tt0032384,306,6.8
tt0032459,123,6.3
tt0032888,230,6.7
tt0033127,16,6.0
tt0033193,13,5.9
tt0033209,148,6.2
tt0033229,403,7.1
tt0033357,695,7.2
tt0033501,97,5.5
tt0033523,377,6.6
tt0033603,696,7.3
tt0034001,47,5.7
tt0034018,47,5.7
tt0034063,165,6.8
tt0034093,1604,7.2
tt0034477,98,6.1
tt0034478,3671,7.3
tt0034575,211,6.6
tt0034643,226,5.9
tt0034690,102,5.5
tt0034893,477,7.0
tt0035001,660,6.8
tt0035017,1820,7.3
tt0035075,196,6.4
tt0035336,103,6.4
tt0035403,158,5.9
tt0035515,69,6.4
tt0035521,2477,7.2
tt0035636,1785,7.3
tt0035659,1594,6.4
tt0035696,63,5.8
tt0035737,656,7.1
tt0035752,195,6.7
tt0035753,10975,7.8
tt0035823,427,7.1
tt0035853,727,7.0
tt0035951,1088,7.5
tt0036495,195,7.4
tt0036566,624,7.2
tt0036575,152,6.6
tt0036736,338,6.7
tt0037300,186,6.4
tt0037370,125,7.2
tt0037630,4858,7.2
tt0037674,21301,8.3
tt0037680,365,6.4
tt0037686,20,5.7
tt0037695,132,6.7
tt0037818,18,6.3
tt0037830,105,7.1
tt0037936,257,6.8
tt0037976,71,6.4
tt0038146,499,6.9
tt0038202,126,6.5
tt0038334,1289,7.0
tt0038335,56,6.2
tt0038348,28286,7.9
tt0038424,317,6.7
tt0038476,907,7.0
tt0038522,277,7.2
tt0038631,250,6.7
tt0038711,218,6.8
tt0038728,528,6.5
tt0038784,288,7.6
tt0038824,2604,7.9
tt0038853,1299,7.1
tt0038863,321,6.8
tt0038950,25,6.2
tt0039004,620,6.9
tt0039061,291,7.4
tt0039118,226,6.2
tt0039135,683,6.6
tt0039150,226,6.9
tt0039155,1137,7.4
tt0039166,21,5.1
tt0039179,98,5.9
tt0039215,221,7.2
tt0039234,255,6.5
tt0039265,84,6.0
tt0039296,206,6.5
tt0039310,181,7.0
tt0039344,697,7.2
tt0039417,13846,7.8
tt0039512,265,7.2
tt0039592,19,4.7
tt0039615,1153,7.1
tt0039632,999,7.0
